path	hits	terms	lines
.claude/physics/INVARIANTS.yaml	30	neuro,neuron,cns,dopamine,serotonin,gaba,hpc,inhibition,excitation,reward,desensitization,free energy,active inference,cryptobiosis,gamma,γ,kappa,κ,kuramoto,ricci,forman,ollivier,curvature,phase,coherence,oscillat,lyapunov,entropy,synchronization,regime	995
docs/math/inventory.md	25	neuro,dopamine,serotonin,gaba,prediction error,plasticity,neuromod,inhibition,reward,arousal,homeostasis,desensitization,free energy,kappa,kuramoto,ricci,forman,ollivier,curvature,phase,coherence,lyapunov,entropy,synchronization,regime	983
CLAUDE.md	24	neuro,dopamine,serotonin,gaba,hpc,neuromod,inhibition,reward,free energy,active inference,cryptobiosis,gamma,γ,kappa,κ,kuramoto,ricci,curvature,phase,coherence,lyapunov,entropy,synchronization,regime	426
README.md	24	neuro,neuron,cns,dopamine,serotonin,gaba,hpc,inhibition,reward,free energy,active inference,cryptobiosis,κ,kuramoto,ricci,forman,ollivier,curvature,phase,coherence,oscillat,entropy,synchronization,regime	782
docs/operations/CANONICAL_OBJECT.md	24	neuro,dopamine,serotonin,gaba,hpc,prediction error,neuromod,inhibition,reward,arousal,free energy,active inference,kuramoto,ricci,forman,ollivier,curvature,phase,coherence,oscillat,lyapunov,entropy,synchronization,regime	135
physics_contracts/catalog.yaml	24	neuro,dopamine,serotonin,gaba,hpc,prediction error,inhibition,reward,free energy,gamma,γ,kappa,κ,kuramoto,ricci,forman,ollivier,curvature,phase,oscillat,lyapunov,entropy,binding,regime	389
geosync_oracle.py	23	neuro,neuron,dopamine,serotonin,gaba,prediction error,neuromod,inhibition,reward,free energy,cryptobiosis,kappa,κ,kuramoto,ricci,forman,curvature,phase,coherence,lyapunov,entropy,synchronization,regime	468
core/neuro/signal_bus.py	20	neuro,neuron,dopamine,serotonin,gaba,hpc,prediction error,plasticity,neuromod,inhibition,reward,aversion,arousal,synaptic,free energy,kuramoto,phase,coherence,synchronization,regime	374
docs/neuro_optimization_guide.md	18	neuro,neuron,dopamine,serotonin,gaba,plasticity,neuromod,inhibition,excitation,reward,arousal,homeostasis,gamma,forman,phase,coherence,oscillat,regime	1235
src/geosync/core/neuro/README_ORCHESTRATOR.md	18	neuro,neuron,dopamine,serotonin,gaba,basal,prediction error,plasticity,neuromod,inhibition,reward,arousal,homeostasis,desensitization,synaptic,free energy,gamma,γ	428
docs/architecture/CONCEPTUAL_ARCHITECTURE.md	17	neuro,dopamine,serotonin,gaba,prediction error,neuromod,inhibition,reward,free energy,kuramoto,ricci,forman,curvature,phase,oscillat,entropy,synchronization	188
BASELINE.md	16	neuro,dopamine,serotonin,gaba,hpc,inhibition,free energy,active inference,cryptobiosis,κ,kuramoto,ricci,curvature,oscillat,lyapunov,binding	230
core/validation/neuro_integrity.py	16	neuro,neuron,dopamine,serotonin,gaba,neuromod,inhibition,excitation,reward,aversion,arousal,homeostasis,kuramoto,phase,coherence,oscillat	483
examples/neuro_optimization_cycle.py	16	neuro,neuron,dopamine,serotonin,gaba,plasticity,neuromod,inhibition,excitation,reward,arousal,desensitization,gamma,forman,phase,regime	529
examples/neuro_orchestrator_demo.py	16	neuro,neuron,dopamine,serotonin,gaba,basal,prediction error,plasticity,neuromod,inhibition,reward,arousal,synaptic,free energy,gamma,γ	331
.claude/physics/validate_tests.py	15	neuro,neuron,dopamine,serotonin,gaba,hpc,inhibition,active inference,gamma,kuramoto,ricci,coherence,lyapunov,entropy,regime	1031
docs/HPC_AI_V4.md	15	neuro,neuron,dopamine,hpc,prediction error,reward,free energy,active inference,gamma,γ,kuramoto,ricci,forman,phase,synchronization	296
docs/archive/LEGACY_20241210_OPTIMIZATION_EXECUTION_REPORT.md	15	neuro,dopamine,serotonin,gaba,plasticity,neuromod,inhibition,excitation,reward,arousal,desensitization,gamma,forman,phase,regime	247
docs/exocortex/RESEARCH_TIMELINE.md	15	neuro,cns,dopamine,serotonin,gaba,hpc,neuromod,active inference,cryptobiosis,mycel,γ,kuramoto,phase,lyapunov,synchronization	64
docs/operations/INSTITUTIONAL_OVERVIEW.md	15	neuro,dopamine,serotonin,neuromod,free energy,kuramoto,ricci,forman,ollivier,curvature,phase,oscillat,entropy,synchronization,regime	221
src/geosync/core/neuro/neuro_orchestrator.py	15	neuro,neuron,dopamine,serotonin,gaba,basal,neuromod,inhibition,reward,arousal,free energy,gamma,kuramoto,ricci,entropy	698
src/geosync/core/neuro/serotonin/serotonin_controller.py	15	neuro,neuron,serotonin,neuromod,inhibition,desensitization,receptor,free energy,gamma,kappa,forman,phase,oscillat,entropy,regime	2179
coherence_bridge/README.md	14	neuro,neuron,active inference,gamma,γ,κ,kuramoto,ricci,forman,curvature,phase,coherence,lyapunov,regime	117
