country,mean_abs_corr_levels_normal,mean_abs_corr_levels_lehman,delta_mean_abs_corr_levels,mean_abs_corr_changes_normal,mean_abs_corr_changes_lehman,delta_mean_abs_corr_changes,mean_abs_corr_changes_sensitivity,delta_mean_abs_corr_changes_sensitivity,weighted_out_strength_lehman,weighted_in_strength_lehman,total_strength_lehman,binary_degree_lehman,effective_change_observations,passes_strength_filter,passes_observation_filter,suspect_short_sample,suspect_low_mass,article_grade,risk_concentration_rank,log_total_strength_lehman,short_sample_penalty,low_mass_penalty,article_risk_score,article_rank
GB,0.8729236717130955,0.8113035811643938,-0.061620090548701656,0.42847447670635075,0.763524817731406,0.33505034102505526,0.5602752692491508,0.13180079254280008,4675139.5,4331088.0,9006227.5,19,11,True,True,False,False,True,12,16.01342695149603,0.0,0.0,5.018920536250184,1
DE,0.8798441982344429,0.8016828313410163,-0.07816136689342668,0.29655581487460325,0.7751649411594822,0.47860912628487895,0.6084707888275961,0.31191497395299284,2847303.0,1580824.0,4428127.0,13,11,True,True,False,False,True,1,15.303487479348602,0.0,0.0,4.902464589366821,2
FR,0.8397750744026142,0.8072710971614201,-0.03250397724119414,0.37468588290155336,0.785706594531091,0.4110207116295377,0.5585173800800954,0.18383149717854208,2216084.0,1509373.25,3725457.25,11,11,True,True,False,False,True,3,15.130700422363669,0.0,0.0,3.35244035697369,3
LU,0.8756075322939522,0.7986082562676521,-0.07699927602630008,0.3200819277811474,0.7887483983285181,0.46866647054737065,0.5789375574148407,0.25885562963369324,847114.75,839886.0,1687000.75,10,11,True,True,False,False,True,2,14.338463398871966,0.0,0.0,3.30583193411485,4
US,0.8674063872608657,0.583670099356953,-0.2837362879039127,0.4233825557560557,0.572513068412947,0.1491305126568913,0.4488767569570535,0.025494201200997768,1939135.0,3308416.25,5247551.25,14,11,True,True,False,False,True,18,15.473272287749792,0.0,0.0,2.8411670071362636,5
NL,0.8797215400752587,0.7870338033740671,-0.09268773670119157,0.3566517955812244,0.6622737269435737,0.3056219313623493,0.4936512549828789,0.13699945940165448,917134.75,1199290.0,2116424.75,9,11,True,True,False,False,True,10,14.565239256825265,0.0,0.0,2.239640011404408,6
BE,0.8663996363881619,0.7791666921497544,-0.08723294423840744,0.31513964970328134,0.701421470923249,0.3862818212199677,0.46937306001074847,0.15423341030746712,883811.75,480037.5,1363849.25,9,11,True,True,False,False,True,5,14.125822323968439,0.0,0.0,2.122188995823018,7
JP,0.8700731265453581,0.22755753584865038,-0.6425155906967077,0.27950150637060495,0.41976156547254234,0.1402600591019374,0.4320530948252865,0.15255158845468153,1979450.75,522159.5,2501610.25,7,11,True,True,False,False,True,6,14.7324455822375,0.0,0.0,2.0729034599161533,8
IE,0.8634265903632771,0.49884223094234714,-0.3645843594209299,0.4004704246514019,0.7855745619980616,0.3851041373466597,0.5051838685530329,0.10471344390163095,913741.0,1077944.25,1991685.25,8,11,True,True,False,False,True,16,14.504492199701382,0.0,0.0,1.741224854047758,9
CH,0.7593490642479266,0.7865034371617661,0.027154372913839486,0.40619578516979826,0.7890252547149713,0.38282946954517305,0.5243452926681139,0.11814950749831565,924553.0,662698.5,1587251.5,8,11,True,True,False,False,True,14,14.277515092082645,0.0,0.0,1.7178872395609421,10
