date,strategy_cumret,benchmark_cumret,drawdown
2017-12-21,1.0,0.98706896,-0.0
2017-12-22,1.0,0.92006,-0.0
2017-12-25,1.0,0.94706536,-0.0
2017-12-26,1.0,0.98415509,-0.0
2017-12-27,1.0,0.98197692,-0.0
2017-12-28,1.0,0.95787739,-0.0
2017-12-29,1.0,0.96833242,-0.0
2018-01-01,1.0,0.95988847,-0.0
2018-01-02,1.0,1.00416005,-0.0
2018-01-03,1.0,1.02711888,-0.0
2018-01-04,1.0,1.03224151,-0.0
2018-01-05,1.0,1.06196436,-0.0
2018-01-08,1.0,1.07012192,-0.0
2018-01-09,1.0,1.08743478,-0.0
2018-01-10,1.0,1.08734619,-0.0
2018-01-11,1.0,1.04582218,-0.0
2018-01-12,1.0,1.0784349,-0.0
2018-01-15,1.0,1.07819773,-0.0
2018-01-16,1.0,0.98455374,-0.0
2018-01-17,1.0,0.9861513,-0.0
2018-01-18,1.0,0.98188082,-0.0
2018-01-19,1.0,0.99920475,-0.0
2018-01-22,1.0,0.98089999,-0.0
2018-01-23,1.0,0.98125859,-0.0
2018-01-24,1.0,1.00820352,-0.0
2018-01-25,1.0,1.00461187,-0.0
2018-01-26,1.0,1.00373178,-0.0
2018-01-29,1.0,1.02573798,-0.0
2018-01-30,1.0,0.98633512,-0.0
2018-01-31,1.0,0.99690028,-0.0
2018-02-01,1.0,0.95783223,-0.0
2018-02-02,1.0,0.91928992,-0.0
2018-02-05,1.0,0.82266369,-0.0
2018-02-06,1.0,0.858061,-0.0
2018-02-07,1.0,0.84789139,-0.0
2018-02-08,1.0,0.85167803,-0.0
2018-02-09,1.0,0.89201577,-0.0
2018-02-12,1.0,0.89861051,-0.0
2018-02-13,1.0,0.88817209,-0.0
2018-02-14,1.0,0.92599909,-0.0
2018-02-15,1.0,0.94088638,-0.0
2018-02-16,1.0,0.94720032,-0.0
2018-02-19,1.0,0.96491658,-0.0
2018-02-20,1.0,0.94951276,-0.0
2018-02-21,1.0,0.92194071,-0.0
2018-02-22,1.0,0.90466846,-0.0
2018-02-23,1.0,0.92592601,-0.0
2018-02-26,1.0,0.93565408,-0.0
2018-02-27,1.0,0.93591799,-0.0
2018-02-28,1.0,0.92709671,-0.0
2018-03-01,1.0,0.93896987,-0.0
2018-03-02,1.0,0.93832324,-0.0
2018-03-05,1.0,0.94519111,-0.0
2018-03-06,1.0,0.92711495,-0.0
2018-03-07,1.0,0.89665092,-0.0
2018-03-08,1.0,0.8729806,-0.0
2018-03-09,1.0,0.88115597,-0.0
2018-03-12,1.0,0.8735451,-0.0
2018-03-13,1.0,0.87217921,-0.0
2018-03-14,1.0,0.83242201,-0.0
2018-03-15,0.99434469,0.83227079,-0.00565531
2018-03-16,0.98952383,0.82848603,-0.01047617
2018-03-19,0.98569221,0.82068674,-0.01430779
