fold_id,test_start_ts,test_end_ts,in_2022,n_bars,mean_edge_density,median_edge_density,p5_edge_density,p95_edge_density,mean_mean_abs_corr,mean_degree,mean_n_components
1,2008-01-02,2008-03-28,False,63,0.6859,0.6786,0.6429,0.75,0.405,4.8016,1.0
2,2008-01-31,2008-04-28,False,63,0.712,0.7143,0.6786,0.75,0.3985,4.9841,1.0
3,2008-02-29,2008-05-27,False,63,0.7137,0.75,0.6429,0.75,0.3896,4.996,1.0
4,2008-03-31,2008-06-25,False,63,0.7012,0.6786,0.6429,0.75,0.3815,4.9087,1.0
5,2008-04-29,2008-07-24,False,63,0.6587,0.6786,0.5714,0.6786,0.3727,4.6111,1.0
6,2008-05-28,2008-08-22,False,63,0.6344,0.6429,0.5714,0.6786,0.3717,4.4405,1.0
7,2008-06-26,2008-09-22,False,63,0.6304,0.6429,0.5714,0.6786,0.3756,4.4127,1.0
8,2008-07-25,2008-10-21,False,63,0.6412,0.6429,0.5714,0.6786,0.3893,4.4881,1.0
9,2008-08-25,2008-11-19,False,63,0.6672,0.6786,0.6071,0.7143,0.4125,4.6706,1.0
10,2008-09-23,2008-12-18,False,63,0.6786,0.6786,0.6071,0.7143,0.4394,4.75,1.0
11,2008-10-22,2009-01-20,False,63,0.6984,0.7143,0.6429,0.7143,0.455,4.8889,1.0
12,2008-11-20,2009-02-18,False,63,0.6978,0.7143,0.6464,0.7143,0.4596,4.8849,1.0
13,2008-12-19,2009-03-19,False,63,0.7069,0.7143,0.6786,0.75,0.4576,4.9484,1.0
14,2009-01-21,2009-04-17,False,63,0.7126,0.7143,0.6786,0.75,0.4569,4.9881,1.0
15,2009-02-19,2009-05-18,False,63,0.7307,0.75,0.6786,0.75,0.452,5.1151,1.0
16,2009-03-20,2009-06-22,False,63,0.7285,0.7143,0.7143,0.75,0.4427,5.0992,1.0
17,2009-04-20,2009-07-21,False,63,0.7126,0.7143,0.6786,0.75,0.4365,4.9881,1.0
18,2009-05-19,2009-08-19,False,63,0.6916,0.6786,0.6786,0.7143,0.4373,4.8413,1.0
19,2009-06-23,2009-09-17,False,63,0.6803,0.6786,0.6786,0.6786,0.4436,4.7619,1.0
20,2009-07-22,2009-10-16,False,63,0.661,0.6786,0.6071,0.6786,0.4444,4.627,1.0
21,2009-08-20,2009-11-16,False,63,0.6446,0.6429,0.6071,0.6786,0.4343,4.5119,1.0
22,2009-09-18,2009-12-15,False,63,0.6247,0.6071,0.6071,0.6429,0.4203,4.373,1.0
23,2009-10-19,2010-01-15,False,63,0.6327,0.6429,0.6071,0.6786,0.4119,4.4286,1.0
24,2009-11-17,2010-02-15,False,63,0.6423,0.6429,0.6071,0.6786,0.4132,4.496,1.0
25,2009-12-16,2010-03-16,False,63,0.6599,0.6786,0.6429,0.6786,0.4154,4.619,1.0
26,2010-01-18,2010-04-14,False,63,0.6565,0.6429,0.6071,0.6786,0.4166,4.5952,1.0
27,2010-02-16,2010-05-13,False,63,0.665,0.6786,0.6071,0.6786,0.42,4.6548,1.0
28,2010-03-17,2010-06-11,False,63,0.6876,0.6786,0.6071,0.75,0.4292,4.8135,1.0
29,2010-04-15,2010-07-12,False,63,0.7341,0.75,0.6786,0.7857,0.4411,5.1389,1.0
30,2010-05-14,2010-08-10,False,63,0.7653,0.7857,0.7143,0.7857,0.4434,5.3571,1.0
31,2010-06-14,2010-09-08,False,63,0.7642,0.7857,0.7143,0.7857,0.4403,5.3492,1.0
32,2010-07-13,2010-10-07,False,63,0.7353,0.75,0.6786,0.7857,0.4368,5.1468,1.0
33,2010-08-11,2010-11-05,False,63,0.708,0.7143,0.6786,0.75,0.4372,4.9563,1.0
34,2010-09-09,2010-12-06,False,63,0.6808,0.6786,0.6429,0.7143,0.4346,4.7659,1.0
35,2010-10-08,2011-01-04,False,63,0.6763,0.6786,0.6429,0.7143,0.4304,4.7341,1.0
36,2010-11-08,2011-02-02,False,63,0.678,0.6786,0.6429,0.7143,0.4272,4.746,1.0
37,2010-12-07,2011-03-03,False,63,0.7041,0.7143,0.6429,0.75,0.4257,4.9286,1.0
38,2011-01-05,2011-04-01,False,63,0.7166,0.7143,0.6786,0.75,0.4185,5.0159,1.0
39,2011-02-03,2011-05-02,False,63,0.6842,0.7143,0.575,0.75,0.3959,4.7897,1.0
40,2011-03-04,2011-05-31,False,63,0.6417,0.6071,0.5714,0.75,0.3708,4.4921,1.0
41,2011-04-04,2011-06-29,False,63,0.602,0.6071,0.5714,0.6071,0.351,4.2143,1.0
42,2011-05-03,2011-07-28,False,63,0.5913,0.6071,0.5393,0.6071,0.3543,4.1389,1.0
43,2011-06-01,2011-08-26,False,63,0.5805,0.5714,0.5357,0.6071,0.36,4.0635,1.0
44,2011-06-30,2011-09-26,False,63,0.5675,0.5714,0.5357,0.6071,0.3684,3.9722,1.0952
45,2011-07-29,2011-10-25,False,63,0.5624,0.5714,0.5357,0.6071,0.3791,3.9365,1.127
46,2011-08-29,2011-11-23,False,63,0.5703,0.5714,0.5357,0.6071,0.4056,3.9921,1.1429
47,2011-09-27,2011-12-22,False,63,0.5862,0.6071,0.5357,0.6071,0.4336,4.1032,1.0476
48,2011-10-26,2012-01-20,False,63,0.6247,0.6071,0.5714,0.6786,0.4564,4.373,1.0159
49,2011-11-24,2012-02-20,False,63,0.6797,0.6429,0.575,0.7857,0.4711,4.7579,1.0
50,2011-12-23,2012-03-20,False,63,0.7285,0.75,0.6429,0.7857,0.4928,5.0992,1.0
51,2012-01-23,2012-04-18,False,63,0.7795,0.75,0.75,0.8571,0.5058,5.4563,1.0
52,2012-02-21,2012-05-17,False,63,0.7517,0.75,0.6786,0.8571,0.4959,5.2619,1.0
53,2012-03-21,2012-06-15,False,63,0.7273,0.6786,0.6786,0.8571,0.4702,5.0913,1.0
54,2012-04-19,2012-07-16,False,63,0.6786,0.6786,0.6786,0.6786,0.4521,4.75,1.0
55,2012-05-18,2012-08-14,False,63,0.6786,0.6786,0.6786,0.6786,0.453,4.75,1.0
56,2012-06-18,2012-09-12,False,63,0.6786,0.6786,0.6786,0.6786,0.4619,4.75,1.0
57,2012-07-17,2012-10-11,False,63,0.6786,0.6786,0.6786,0.6786,0.47,4.75,1.0
58,2012-08-15,2012-11-09,False,63,0.6786,0.6786,0.6786,0.6786,0.4739,4.75,1.0
59,2012-09-13,2012-12-10,False,63,0.6786,0.6786,0.6786,0.6786,0.4727,4.75,1.0
60,2012-10-12,2013-01-09,False,63,0.6689,0.6786,0.6429,0.6786,0.4569,4.6825,1.0
61,2012-11-12,2013-02-07,False,63,0.6434,0.6429,0.5714,0.6786,0.4291,4.504,1.0
62,2012-12-11,2013-03-08,False,63,0.6417,0.6429,0.5714,0.6786,0.3995,4.4921,1.0
63,2013-01-10,2013-04-08,False,63,0.6519,0.6786,0.5714,0.7143,0.3814,4.5635,1.0
64,2013-02-08,2013-05-07,False,63,0.6735,0.6786,0.5714,0.7143,0.3753,4.7143,1.0
65,2013-03-11,2013-06-05,False,63,0.6536,0.6786,0.5714,0.7143,0.3703,4.5754,1.0
66,2013-04-09,2013-07-04,False,63,0.6304,0.6429,0.5714,0.7143,0.3661,4.4127,1.0
