fold_id,test_start_ts,test_end_ts,in_2022,sum_turnover,median_turnover,mean_turnover
1,2008-01-02,2008-03-28,False,1.0,0.0,0.0159
2,2008-01-31,2008-04-28,False,6.0,0.0,0.0952
3,2008-02-29,2008-05-27,False,6.0,0.0,0.0952
4,2008-03-31,2008-06-25,False,5.0,0.0,0.0794
5,2008-04-29,2008-07-24,False,3.0,0.0,0.0476
6,2008-05-28,2008-08-22,False,9.0,0.0,0.1429
7,2008-06-26,2008-09-22,False,14.0,0.0,0.2222
8,2008-07-25,2008-10-21,False,27.0,0.0,0.4286
9,2008-08-25,2008-11-19,False,28.0,0.0,0.4444
10,2008-09-23,2008-12-18,False,32.0,0.0,0.5079
11,2008-10-22,2009-01-20,False,20.0,0.0,0.3175
12,2008-11-20,2009-02-18,False,15.0,0.0,0.2381
13,2008-12-19,2009-03-19,False,11.0,0.0,0.1746
14,2009-01-21,2009-04-17,False,10.0,0.0,0.1587
15,2009-02-19,2009-05-18,False,17.0,0.0,0.2698
16,2009-03-20,2009-06-22,False,19.0,0.0,0.3016
17,2009-04-20,2009-07-21,False,36.0,0.0,0.5714
18,2009-05-19,2009-08-19,False,40.0,0.0,0.6349
19,2009-06-23,2009-09-17,False,47.0,0.0,0.746
20,2009-07-22,2009-10-16,False,30.0,0.0,0.4762
21,2009-08-20,2009-11-16,False,24.0,0.0,0.381
22,2009-09-18,2009-12-15,False,20.0,0.0,0.3175
23,2009-10-19,2010-01-15,False,27.0,0.0,0.4286
24,2009-11-17,2010-02-15,False,26.0,0.0,0.4127
25,2009-12-16,2010-03-16,False,26.0,0.0,0.4127
26,2010-01-18,2010-04-14,False,26.0,0.0,0.4127
27,2010-02-16,2010-05-13,False,32.0,0.0,0.5079
28,2010-03-17,2010-06-11,False,24.0,0.0,0.381
29,2010-04-15,2010-07-12,False,20.0,0.0,0.3175
30,2010-05-14,2010-08-10,False,28.0,0.0,0.4444
31,2010-06-14,2010-09-08,False,40.0,0.0,0.6349
32,2010-07-13,2010-10-07,False,34.0,0.0,0.5397
33,2010-08-11,2010-11-05,False,31.0,0.0,0.4921
34,2010-09-09,2010-12-06,False,23.0,0.0,0.3651
35,2010-10-08,2011-01-04,False,33.0,0.0,0.5238
36,2010-11-08,2011-02-02,False,21.0,0.0,0.3333
37,2010-12-07,2011-03-03,False,17.0,0.0,0.2698
38,2011-01-05,2011-04-01,False,12.0,0.0,0.1905
39,2011-02-03,2011-05-02,False,11.0,0.0,0.1746
40,2011-03-04,2011-05-31,False,13.0,0.0,0.2063
41,2011-04-04,2011-06-29,False,8.0,0.0,0.127
42,2011-05-03,2011-07-28,False,13.0,0.0,0.2063
