fold_id,train_start_pos,train_end_pos,test_start_pos,test_end_pos,train_start_ts,train_end_ts,test_start_ts,test_end_ts,train_bars,test_bars,in_2022
1,896,1148,1148,1211,2007-01-10,2007-12-31,2008-01-02,2008-03-28,252,63,False
2,917,1169,1169,1232,2007-02-08,2008-01-30,2008-01-31,2008-04-28,252,63,False
3,938,1190,1190,1253,2007-03-09,2008-02-28,2008-02-29,2008-05-27,252,63,False
4,959,1211,1211,1274,2007-04-09,2008-03-28,2008-03-31,2008-06-25,252,63,False
5,980,1232,1232,1295,2007-05-08,2008-04-28,2008-04-29,2008-07-24,252,63,False
6,1001,1253,1253,1316,2007-06-06,2008-05-27,2008-05-28,2008-08-22,252,63,False
7,1022,1274,1274,1337,2007-07-05,2008-06-25,2008-06-26,2008-09-22,252,63,False
8,1043,1295,1295,1358,2007-08-03,2008-07-24,2008-07-25,2008-10-21,252,63,False
9,1064,1316,1316,1379,2007-09-03,2008-08-22,2008-08-25,2008-11-19,252,63,False
10,1085,1337,1337,1400,2007-10-02,2008-09-22,2008-09-23,2008-12-18,252,63,False
11,1106,1358,1358,1421,2007-10-31,2008-10-21,2008-10-22,2009-01-20,252,63,False
12,1127,1379,1379,1442,2007-11-29,2008-11-19,2008-11-20,2009-02-18,252,63,False
13,1148,1400,1400,1463,2008-01-02,2008-12-18,2008-12-19,2009-03-19,252,63,False
14,1169,1421,1421,1484,2008-01-31,2009-01-20,2009-01-21,2009-04-17,252,63,False
15,1190,1442,1442,1505,2008-02-29,2009-02-18,2009-02-19,2009-05-18,252,63,False
16,1211,1463,1463,1526,2008-03-31,2009-03-19,2009-03-20,2009-06-22,252,63,False
17,1232,1484,1484,1547,2008-04-29,2009-04-17,2009-04-20,2009-07-21,252,63,False
18,1253,1505,1505,1568,2008-05-28,2009-05-18,2009-05-19,2009-08-19,252,63,False
19,1274,1526,1526,1589,2008-06-26,2009-06-22,2009-06-23,2009-09-17,252,63,False
20,1295,1547,1547,1610,2008-07-25,2009-07-21,2009-07-22,2009-10-16,252,63,False
21,1316,1568,1568,1631,2008-08-25,2009-08-19,2009-08-20,2009-11-16,252,63,False
22,1337,1589,1589,1652,2008-09-23,2009-09-17,2009-09-18,2009-12-15,252,63,False
23,1358,1610,1610,1673,2008-10-22,2009-10-16,2009-10-19,2010-01-15,252,63,False
24,1379,1631,1631,1694,2008-11-20,2009-11-16,2009-11-17,2010-02-15,252,63,False
