fold_id,test_start_ts,test_end_ts,in_2022,n_valid_assets,fold_median_sharpe,fold_mean_sharpe,fold_portfolio_sharpe,is_valid
1,2008-01-02,2008-03-28,False,8,-0.7277,-0.759,-1.2216,True
2,2008-01-31,2008-04-28,False,8,-0.888,-0.7741,-2.8238,True
3,2008-02-29,2008-05-27,False,8,-1.3783,-1.0539,-3.7827,True
4,2008-03-31,2008-06-25,False,8,0.4324,0.1442,0.491,True
5,2008-04-29,2008-07-24,False,8,0.1882,0.1005,1.2895,True
6,2008-05-28,2008-08-22,False,8,-0.1299,0.664,1.5351,True
7,2008-06-26,2008-09-22,False,8,0.5007,0.1498,-0.7712,True
8,2008-07-25,2008-10-21,False,8,-0.5949,-0.2176,1.5584,True
9,2008-08-25,2008-11-19,False,8,1.1804,0.7442,3.4189,True
10,2008-09-23,2008-12-18,False,8,0.9394,0.6407,4.2897,True
11,2008-10-22,2009-01-20,False,8,0.3693,-0.1534,1.3614,True
12,2008-11-20,2009-02-18,False,8,-0.4496,-0.4971,-1.5885,True
13,2008-12-19,2009-03-19,False,8,-0.7777,-0.3681,-1.423,True
14,2009-01-21,2009-04-17,False,8,0.6559,0.1864,-0.1802,True
15,2009-02-19,2009-05-18,False,8,0.424,-0.0525,-1.2547,True
16,2009-03-20,2009-06-22,False,8,-0.505,-0.3506,-1.7069,True
17,2009-04-20,2009-07-21,False,8,-0.8831,-0.5722,-2.3548,True
18,2009-05-19,2009-08-19,False,8,-0.2038,-0.3076,-1.34,True
19,2009-06-23,2009-09-17,False,8,-1.7091,-1.1429,-3.8087,True
20,2009-07-22,2009-10-16,False,8,-0.8447,-0.783,-2.1321,True
21,2009-08-20,2009-11-16,False,8,-1.2498,-1.2742,-3.545,True
22,2009-09-18,2009-12-15,False,8,0.3204,0.2469,0.0078,True
23,2009-10-19,2010-01-15,False,8,-0.0847,-0.1639,-0.2687,True
24,2009-11-17,2010-02-15,False,8,0.3431,0.5173,1.7356,True
25,2009-12-16,2010-03-16,False,8,-0.0986,-0.4305,-0.9359,True
26,2010-01-18,2010-04-14,False,8,0.9743,0.2712,0.7118,True
27,2010-02-16,2010-05-13,False,8,-0.043,-0.2092,-1.4002,True
28,2010-03-17,2010-06-11,False,8,0.5699,-0.0068,-1.4854,True
29,2010-04-15,2010-07-12,False,8,0.0,-0.5071,-2.359,True
30,2010-05-14,2010-08-10,False,8,-0.0602,0.1574,0.3558,True
31,2010-06-14,2010-09-08,False,8,0.4076,0.3041,1.6427,True
32,2010-07-13,2010-10-07,False,8,-1.1696,-0.8383,-2.4837,True
33,2010-08-11,2010-11-05,False,8,-1.5099,-1.204,-3.6639,True
34,2010-09-09,2010-12-06,False,8,0.16,-0.3008,-2.4247,True
35,2010-10-08,2011-01-04,False,8,0.2562,0.2832,0.5228,True
36,2010-11-08,2011-02-02,False,8,0.7141,0.7614,1.8793,True
37,2010-12-07,2011-03-03,False,8,-0.2852,0.3691,0.6401,True
38,2011-01-05,2011-04-01,False,8,1.9249,1.0805,2.7517,True
39,2011-02-03,2011-05-02,False,8,0.3207,-0.1382,0.1128,True
40,2011-03-04,2011-05-31,False,8,0.2825,-0.1175,-0.0718,True
41,2011-04-04,2011-06-29,False,8,-0.5513,-0.751,-2.4261,True
42,2011-05-03,2011-07-28,False,8,-0.0522,-0.3178,-1.5571,True
43,2011-06-01,2011-08-26,False,8,-0.9312,-0.6581,-2.1737,True
44,2011-06-30,2011-09-26,False,8,-0.5522,-0.5346,0.3499,True
45,2011-07-29,2011-10-25,False,8,-0.5343,-0.1375,1.0141,True
46,2011-08-29,2011-11-23,False,8,0.0034,-0.1696,0.6736,True
47,2011-09-27,2011-12-22,False,8,-0.5274,-0.7495,-1.4877,True
48,2011-10-26,2012-01-20,False,8,0.0,-0.4256,-1.7424,True
