fold_id,asset,test_start_ts,test_end_ts,in_2022,n_test,sharpe_test
1,EURUSD,2008-01-02,2008-03-28,False,63,-2.8739
1,GBPUSD,2008-01-02,2008-03-28,False,63,-1.4512
1,USDJPY,2008-01-02,2008-03-28,False,63,1.4488
1,AUDUSD,2008-01-02,2008-03-28,False,63,1.5061
1,USDCAD,2008-01-02,2008-03-28,False,63,-3.6415
1,USDCHF,2008-01-02,2008-03-28,False,63,0.395
1,EURGBP,2008-01-02,2008-03-28,False,63,-1.2146
1,EURJPY,2008-01-02,2008-03-28,False,63,-0.2409
2,EURUSD,2008-01-31,2008-04-28,False,63,-2.1298
2,GBPUSD,2008-01-31,2008-04-28,False,63,-0.855
2,USDJPY,2008-01-31,2008-04-28,False,63,-2.0272
2,AUDUSD,2008-01-31,2008-04-28,False,63,1.2129
2,USDCAD,2008-01-31,2008-04-28,False,63,-0.9209
2,USDCHF,2008-01-31,2008-04-28,False,63,0.395
2,EURGBP,2008-01-31,2008-04-28,False,63,-2.6607
2,EURJPY,2008-01-31,2008-04-28,False,63,0.7931
3,EURUSD,2008-02-29,2008-05-27,False,63,-1.4358
3,GBPUSD,2008-02-29,2008-05-27,False,63,-1.3208
3,USDJPY,2008-02-29,2008-05-27,False,63,-2.4059
3,AUDUSD,2008-02-29,2008-05-27,False,63,-0.7929
3,USDCAD,2008-02-29,2008-05-27,False,63,-2.2203
3,USDCHF,2008-02-29,2008-05-27,False,63,1.4397
3,EURGBP,2008-02-29,2008-05-27,False,63,-2.0564
3,EURJPY,2008-02-29,2008-05-27,False,63,0.3611
4,EURUSD,2008-03-31,2008-06-25,False,63,0.5882
4,GBPUSD,2008-03-31,2008-06-25,False,63,-0.7442
4,USDJPY,2008-03-31,2008-06-25,False,63,-3.4507
4,AUDUSD,2008-03-31,2008-06-25,False,63,0.6661
4,USDCAD,2008-03-31,2008-06-25,False,63,-0.5773
4,USDCHF,2008-03-31,2008-06-25,False,63,0.8843
4,EURGBP,2008-03-31,2008-06-25,False,63,0.2765
4,EURJPY,2008-03-31,2008-06-25,False,63,3.5103
5,EURUSD,2008-04-29,2008-07-24,False,63,-0.1505
5,GBPUSD,2008-04-29,2008-07-24,False,63,-1.275
5,USDJPY,2008-04-29,2008-07-24,False,63,-2.1535
5,AUDUSD,2008-04-29,2008-07-24,False,63,0.5269
5,USDCAD,2008-04-29,2008-07-24,False,63,-0.2325
5,USDCHF,2008-04-29,2008-07-24,False,63,1.1911
5,EURGBP,2008-04-29,2008-07-24,False,63,1.1046
5,EURJPY,2008-04-29,2008-07-24,False,63,1.793
6,EURUSD,2008-05-28,2008-08-22,False,63,-0.3177
6,GBPUSD,2008-05-28,2008-08-22,False,63,3.2237
6,USDJPY,2008-05-28,2008-08-22,False,63,0.0
6,AUDUSD,2008-05-28,2008-08-22,False,63,-0.2598
6,USDCAD,2008-05-28,2008-08-22,False,63,4.1714
6,USDCHF,2008-05-28,2008-08-22,False,63,-1.2773
6,EURGBP,2008-05-28,2008-08-22,False,63,0.697
6,EURJPY,2008-05-28,2008-08-22,False,63,-0.9254
7,EURUSD,2008-06-26,2008-09-22,False,63,-3.5551
7,GBPUSD,2008-06-26,2008-09-22,False,63,4.3343
7,USDJPY,2008-06-26,2008-09-22,False,63,0.655
7,AUDUSD,2008-06-26,2008-09-22,False,63,0.3463
7,USDCAD,2008-06-26,2008-09-22,False,63,3.7769
7,USDCHF,2008-06-26,2008-09-22,False,63,-1.8099
7,EURGBP,2008-06-26,2008-09-22,False,63,0.7248
7,EURJPY,2008-06-26,2008-09-22,False,63,-3.2738
8,EURUSD,2008-07-25,2008-10-21,False,63,-3.3407
8,GBPUSD,2008-07-25,2008-10-21,False,63,3.1577
8,USDJPY,2008-07-25,2008-10-21,False,63,0.9899
8,AUDUSD,2008-07-25,2008-10-21,False,63,2.5228
8,USDCAD,2008-07-25,2008-10-21,False,63,-1.7038
8,USDCHF,2008-07-25,2008-10-21,False,63,-2.1771
8,EURGBP,2008-07-25,2008-10-21,False,63,-0.9369
8,EURJPY,2008-07-25,2008-10-21,False,63,-0.2529
9,EURUSD,2008-08-25,2008-11-19,False,63,-1.8488
9,GBPUSD,2008-08-25,2008-11-19,False,63,2.559
9,USDJPY,2008-08-25,2008-11-19,False,63,1.0224
9,AUDUSD,2008-08-25,2008-11-19,False,63,2.7706
9,USDCAD,2008-08-25,2008-11-19,False,63,-1.6702
9,USDCHF,2008-08-25,2008-11-19,False,63,-0.3007
9,EURGBP,2008-08-25,2008-11-19,False,63,2.0832
9,EURJPY,2008-08-25,2008-11-19,False,63,1.3383
10,EURUSD,2008-09-23,2008-12-18,False,63,3.31
10,GBPUSD,2008-09-23,2008-12-18,False,63,-2.176
10,USDJPY,2008-09-23,2008-12-18,False,63,-0.3042
10,AUDUSD,2008-09-23,2008-12-18,False,63,2.8267
10,USDCAD,2008-09-23,2008-12-18,False,63,-0.8102
10,USDCHF,2008-09-23,2008-12-18,False,63,-2.567
10,EURGBP,2008-09-23,2008-12-18,False,63,2.6636
10,EURJPY,2008-09-23,2008-12-18,False,63,2.183
11,EURUSD,2008-10-22,2009-01-20,False,63,0.7567
11,GBPUSD,2008-10-22,2009-01-20,False,63,-1.6776
11,USDJPY,2008-10-22,2009-01-20,False,63,-1.7257
11,AUDUSD,2008-10-22,2009-01-20,False,63,0.5844
11,USDCAD,2008-10-22,2009-01-20,False,63,0.1543
11,USDCHF,2008-10-22,2009-01-20,False,63,-2.9108
11,EURGBP,2008-10-22,2009-01-20,False,63,1.5065
11,EURJPY,2008-10-22,2009-01-20,False,63,2.0853
12,EURUSD,2008-11-20,2009-02-18,False,63,0.7865
12,GBPUSD,2008-11-20,2009-02-18,False,63,-1.4268
12,USDJPY,2008-11-20,2009-02-18,False,63,-1.32
12,AUDUSD,2008-11-20,2009-02-18,False,63,-0.4109
12,USDCAD,2008-11-20,2009-02-18,False,63,-0.0228
12,USDCHF,2008-11-20,2009-02-18,False,63,-2.6492
12,EURGBP,2008-11-20,2009-02-18,False,63,-0.4882
12,EURJPY,2008-11-20,2009-02-18,False,63,1.5546
13,EURUSD,2008-12-19,2009-03-19,False,63,-0.6874
13,GBPUSD,2008-12-19,2009-03-19,False,63,-0.868
13,USDJPY,2008-12-19,2009-03-19,False,63,0.535
13,AUDUSD,2008-12-19,2009-03-19,False,63,2.015
13,USDCAD,2008-12-19,2009-03-19,False,63,-1.9531
13,USDCHF,2008-12-19,2009-03-19,False,63,-1.1169
13,EURGBP,2008-12-19,2009-03-19,False,63,-1.5463
13,EURJPY,2008-12-19,2009-03-19,False,63,0.6768
14,EURUSD,2009-01-21,2009-04-17,False,63,3.0515
14,GBPUSD,2009-01-21,2009-04-17,False,63,-1.4019
14,USDJPY,2009-01-21,2009-04-17,False,63,2.353
14,AUDUSD,2009-01-21,2009-04-17,False,63,3.9028
14,USDCAD,2009-01-21,2009-04-17,False,63,-1.0411
14,USDCHF,2009-01-21,2009-04-17,False,63,-2.1134
14,EURGBP,2009-01-21,2009-04-17,False,63,2.5698
14,EURJPY,2009-01-21,2009-04-17,False,63,-5.8293
15,EURUSD,2009-02-19,2009-05-18,False,63,3.7566
15,GBPUSD,2009-02-19,2009-05-18,False,63,-2.4088
15,USDJPY,2009-02-19,2009-05-18,False,63,2.6116
15,AUDUSD,2009-02-19,2009-05-18,False,63,1.3123
15,USDCAD,2009-02-19,2009-05-18,False,63,-2.8251
15,USDCHF,2009-02-19,2009-05-18,False,63,-0.4643
15,EURGBP,2009-02-19,2009-05-18,False,63,3.9099
15,EURJPY,2009-02-19,2009-05-18,False,63,-6.3122
16,EURUSD,2009-03-20,2009-06-22,False,63,0.0
16,GBPUSD,2009-03-20,2009-06-22,False,63,-1.9969
16,USDJPY,2009-03-20,2009-06-22,False,63,1.6281
16,AUDUSD,2009-03-20,2009-06-22,False,63,-1.01
16,USDCAD,2009-03-20,2009-06-22,False,63,-1.5369
16,USDCHF,2009-03-20,2009-06-22,False,63,0.4476
16,EURGBP,2009-03-20,2009-06-22,False,63,3.9788
16,EURJPY,2009-03-20,2009-06-22,False,63,-4.3157
17,EURUSD,2009-04-20,2009-07-21,False,63,-2.3053
17,GBPUSD,2009-04-20,2009-07-21,False,63,-0.8522
17,USDJPY,2009-04-20,2009-07-21,False,63,-0.914
17,AUDUSD,2009-04-20,2009-07-21,False,63,-1.7968
17,USDCAD,2009-04-20,2009-07-21,False,63,-2.3242
17,USDCHF,2009-04-20,2009-07-21,False,63,1.6916
17,EURGBP,2009-04-20,2009-07-21,False,63,1.9235
17,EURJPY,2009-04-20,2009-07-21,False,63,0.0
18,EURUSD,2009-05-19,2009-08-19,False,63,-1.2439
18,GBPUSD,2009-05-19,2009-08-19,False,63,0.0
18,USDJPY,2009-05-19,2009-08-19,False,63,-0.6911
18,AUDUSD,2009-05-19,2009-08-19,False,63,-0.4076
18,USDCAD,2009-05-19,2009-08-19,False,63,-1.6232
18,USDCHF,2009-05-19,2009-08-19,False,63,0.3336
18,EURGBP,2009-05-19,2009-08-19,False,63,1.1713
18,EURJPY,2009-05-19,2009-08-19,False,63,0.0
19,EURUSD,2009-06-23,2009-09-17,False,63,-2.9714
19,GBPUSD,2009-06-23,2009-09-17,False,63,-1.4696
