fold_id,test_start_ts,test_end_ts,in_2022,n_valid_assets,fold_median_sharpe,fold_mean_sharpe,fold_portfolio_sharpe,is_valid
1,2008-01-02,2008-03-28,False,8,-0.8115,-0.8256,-1.3853,True
2,2008-01-31,2008-04-28,False,8,-0.9816,-0.8225,-2.9173,True
3,2008-02-29,2008-05-27,False,8,-1.3921,-1.116,-3.9315,True
4,2008-03-31,2008-06-25,False,8,0.3326,0.1047,0.3793,True
5,2008-04-29,2008-07-24,False,8,0.1367,0.0413,1.0933,True
6,2008-05-28,2008-08-22,False,8,-0.155,0.6256,1.372,True
7,2008-06-26,2008-09-22,False,8,0.4556,0.085,-1.0112,True
8,2008-07-25,2008-10-21,False,8,-0.634,-0.2681,1.4445,True
9,2008-08-25,2008-11-19,False,8,1.1183,0.6905,3.2805,True
10,2008-09-23,2008-12-18,False,8,0.8898,0.6094,4.1898,True
11,2008-10-22,2009-01-20,False,8,0.3593,-0.181,1.2671,True
12,2008-11-20,2009-02-18,False,8,-0.4657,-0.5196,-1.6853,True
13,2008-12-19,2009-03-19,False,8,-0.7968,-0.3989,-1.5337,True
14,2009-01-21,2009-04-17,False,8,0.6005,0.1469,-0.3375,True
15,2009-02-19,2009-05-18,False,8,0.4005,-0.0813,-1.3789,True
16,2009-03-20,2009-06-22,False,8,-1.2841,-0.6198,-1.7834,True
17,2009-04-20,2009-07-21,False,8,-0.9069,-0.5844,-2.3977,True
18,2009-05-19,2009-08-19,False,8,-0.217,-0.314,-1.3562,True
19,2009-06-23,2009-09-17,False,8,-1.715,-1.1523,-3.8295,True
20,2009-07-22,2009-10-16,False,8,-0.8847,-0.8077,-2.1814,True
21,2009-08-20,2009-11-16,False,8,-1.2985,-1.3338,-3.6861,True
22,2009-09-18,2009-12-15,False,8,0.2372,0.1683,-0.1952,True
23,2009-10-19,2010-01-15,False,8,-0.1656,-0.2428,-0.5106,True
24,2009-11-17,2010-02-15,False,8,0.2917,0.424,1.4594,True
25,2009-12-16,2010-03-16,False,8,-0.1798,-0.524,-1.1436,True
26,2010-01-18,2010-04-14,False,8,0.8709,0.1638,0.5166,True
27,2010-02-16,2010-05-13,False,8,-0.1166,-0.2738,-1.5023,True
28,2010-03-17,2010-06-11,False,8,0.5384,-0.0624,-1.5818,True
29,2010-04-15,2010-07-12,False,8,0.0,-0.5302,-2.4257,True
30,2010-05-14,2010-08-10,False,8,-0.0694,0.1277,0.2535,True
31,2010-06-14,2010-09-08,False,8,0.3833,0.267,1.5483,True
32,2010-07-13,2010-10-07,False,8,-1.2143,-0.8741,-2.5592,True
33,2010-08-11,2010-11-05,False,8,-1.5654,-1.2369,-3.7239,True
34,2010-09-09,2010-12-06,False,8,0.1419,-0.3267,-2.4824,True
